file,line,field,value,literal_type,classification,review_priority,context,reproducibility_note
analysis.py,1,,1,number_embedded_in_text,prose_or_label_number,low,"""""""",Number is embedded in a string and requires contextual review.
analysis.py,1,,2,number_embedded_in_text,prose_or_label_number,low,"""""""",Number is embedded in a string and requires contextual review.
analysis.py,1,,3,number_embedded_in_text,prose_or_label_number,low,"""""""",Number is embedded in a string and requires contextual review.
analysis.py,27,,70,numeric_ast_literal,code_constant_requires_context,medium,"print(""="" * 70)","Numeric code constant not automatically reducible to a result, layout, or documented analysis parameter."
analysis.py,28,,1,number_embedded_in_text,dynamically_generated_value_or_format_precision,low,"print(""STEP 1: 混同行列分析（拡張データ N={}）"".format(len(df)))",Number appears in an f-string or format specification; the reported value is generated at runtime.
analysis.py,29,,70,numeric_ast_literal,code_constant_requires_context,medium,"print(""="" * 70)","Numeric code constant not automatically reducible to a result, layout, or documented analysis parameter."
analysis.py,67,,2,numeric_ast_literal,code_constant_requires_context,medium,f1 = 2 * ppv * sensitivity / (ppv + sensitivity),"Numeric code constant not automatically reducible to a result, layout, or documented analysis parameter."
analysis.py,79,,0,numeric_ast_literal,code_constant_requires_context,medium,"nnt = 1 / rd if rd != 0 else float(""inf"")","Numeric code constant not automatically reducible to a result, layout, or documented analysis parameter."
analysis.py,79,,1,numeric_ast_literal,code_constant_requires_context,medium,"nnt = 1 / rd if rd != 0 else float(""inf"")","Numeric code constant not automatically reducible to a result, layout, or documented analysis parameter."
analysis.py,89,,1,numeric_ast_literal,code_constant_requires_context,medium,se_log_or = math.sqrt(1 / TP + 1 / FP + 1 / FN + 1 / TN),"Numeric code constant not automatically reducible to a result, layout, or documented analysis parameter."
analysis.py,89,,1,numeric_ast_literal,code_constant_requires_context,medium,se_log_or = math.sqrt(1 / TP + 1 / FP + 1 / FN + 1 / TN),"Numeric code constant not automatically reducible to a result, layout, or documented analysis parameter."
analysis.py,89,,1,numeric_ast_literal,code_constant_requires_context,medium,se_log_or = math.sqrt(1 / TP + 1 / FP + 1 / FN + 1 / TN),"Numeric code constant not automatically reducible to a result, layout, or documented analysis parameter."
analysis.py,89,,1,numeric_ast_literal,code_constant_requires_context,medium,se_log_or = math.sqrt(1 / TP + 1 / FP + 1 / FN + 1 / TN),"Numeric code constant not automatically reducible to a result, layout, or documented analysis parameter."
