record_id,entity,period,field,current_value,verification_status,source_title,source_author_or_institution,source_url,source_locator,source_excerpt,accessed_at_utc,coding_note,applicable_auxiliary_datasets
1,アケメネス朝ペルシア,BC550-BC330,entity,アケメネス朝ペルシア,supported_by_reference_overview,"Ancient Iran | History, Map, Cities, Religion, Art, Language, & Facts | Britannica",Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Iran,"Article, chapter, or dataset overview; relevant text is reproduced in source_excerpt","The history of ancient Iran spans from prehistoric times to the Arab conquest in the 7th century AD. This era is typically divided into three phases: 1. Prehistoric period: From earliest human evidence (c. 100,000 BC) to the start of the 1st millennium BC. 2. Protohistoric period: Approximately the first half of the 1st millennium BC. 3. Achaemenian dynasty period: 6th to 4th century BC, marked by written history. Ancient Iran's history is divided into three phases: prehistoric, protohistoric, and the Achaemenian dynasty(6th to 4th century BC). Several ancient civilizations and empires existed in the region: * Elam, in southwestern Iran, was closely tied to Mesopotamia. * The Medes united Iranian tribes and, in alliance with Babylon, ended the Assyrian Empire in 612 BC. * The Achaemenian Dynasty (559–330 BC) established an empire that Cyrus II founded. * The Parthian Empire (247 BC–224 AD) gained control of the Iranian Plateau and Mesopotamia. * The Sasanian Dynasty (224–651",2026-07-15T02:33:47Z,The cited reference identifies the polity or political unit.,Seshat Cliopatria; HYDE
1,アケメネス朝ペルシア,BC550-BC330,period,BC550-BC330,polity_chronology_supported_project_window_interpretive,"Ancient Iran | History, Map, Cities, Religion, Art, Language, & Facts | Britannica",Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Iran,"Article, chapter, or dataset overview; relevant text is reproduced in source_excerpt","The history of ancient Iran spans from prehistoric times to the Arab conquest in the 7th century AD. This era is typically divided into three phases: 1. Prehistoric period: From earliest human evidence (c. 100,000 BC) to the start of the 1st millennium BC. 2. Protohistoric period: Approximately the first half of the 1st millennium BC. 3. Achaemenian dynasty period: 6th to 4th century BC, marked by written history. Ancient Iran's history is divided into three phases: prehistoric, protohistoric, and the Achaemenian dynasty(6th to 4th century BC). Several ancient civilizations and empires existed in the region: * Elam, in southwestern Iran, was closely tied to Mesopotamia. * The Medes united Iranian tribes and, in alliance with Babylon, ended the Assyrian Empire in 612 BC. * The Achaemenian Dynasty (559–330 BC) established an empire that Cyrus II founded. * The Parthian Empire (247 BC–224 AD) gained control of the Iranian Plateau and Mesopotamia. * The Sasanian Dynasty (224–651",2026-07-15T02:33:47Z,The source supports the polity chronology; split periods and policy windows are project-defined analytical intervals.,Seshat Cliopatria; HYDE
1,アケメネス朝ペルシア,BC550-BC330,closure_type,none,legacy_none_not_independently_verified,"Ancient Iran | History, Map, Cities, Religion, Art, Language, & Facts | Britannica",Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Iran,"Article, chapter, or dataset overview; relevant text is reproduced in source_excerpt","The history of ancient Iran spans from prehistoric times to the Arab conquest in the 7th century AD. This era is typically divided into three phases: 1. Prehistoric period: From earliest human evidence (c. 100,000 BC) to the start of the 1st millennium BC. 2. Protohistoric period: Approximately the first half of the 1st millennium BC. 3. Achaemenian dynasty period: 6th to 4th century BC, marked by written history. Ancient Iran's history is divided into three phases: prehistoric, protohistoric, and the Achaemenian dynasty(6th to 4th century BC). Several ancient civilizations and empires existed in the region: * Elam, in southwestern Iran, was closely tied to Mesopotamia. * The Medes united Iranian tribes and, in alliance with Babylon, ended the Assyrian Empire in 612 BC. * The Achaemenian Dynasty (559–330 BC) established an empire that Cyrus II founded. * The Parthian Empire (247 BC–224 AD) gained control of the Iranian Plateau and Mesopotamia. * The Sasanian Dynasty (224–651",2026-07-15T02:33:47Z,No formal closure is asserted; absence of every relevant restriction was not proven.,Seshat Cliopatria; HYDE
1,アケメネス朝ペルシア,BC550-BC330,outcome,overtaken,historical_event_supported_category_is_project_interpretation,"Ancient Iran | History, Map, Cities, Religion, Art, Language, & Facts | Britannica",Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Iran,"Article, chapter, or dataset overview; relevant text is reproduced in source_excerpt","The history of ancient Iran spans from prehistoric times to the Arab conquest in the 7th century AD. This era is typically divided into three phases: 1. Prehistoric period: From earliest human evidence (c. 100,000 BC) to the start of the 1st millennium BC. 2. Protohistoric period: Approximately the first half of the 1st millennium BC. 3. Achaemenian dynasty period: 6th to 4th century BC, marked by written history. Ancient Iran's history is divided into three phases: prehistoric, protohistoric, and the Achaemenian dynasty(6th to 4th century BC). Several ancient civilizations and empires existed in the region: * Elam, in southwestern Iran, was closely tied to Mesopotamia. * The Medes united Iranian tribes and, in alliance with Babylon, ended the Assyrian Empire in 612 BC. * The Achaemenian Dynasty (559–330 BC) established an empire that Cyrus II founded. * The Parthian Empire (247 BC–224 AD) gained control of the Iranian Plateau and Mesopotamia. * The Sasanian Dynasty (224–651",2026-07-15T02:33:47Z,The source documents the polity history or terminal event. The three-category outcome is an AI-assisted project classification rather than a source variable.,Seshat Cliopatria; HYDE
1,アケメネス朝ペルシア,BC550-BC330,has_external_patron,0,legacy_zero_not_independently_verified,"Ancient Iran | History, Map, Cities, Religion, Art, Language, & Facts | Britannica",Encyclopaedia Britannica,https://www.britannica.com/place/ancient-Iran,"Article, chapter, or dataset overview; relevant text is reproduced in source_excerpt","The history of ancient Iran spans from prehistoric times to the Arab conquest in the 7th century AD. This era is typically divided into three phases: 1. Prehistoric period: From earliest human evidence (c. 100,000 BC) to the start of the 1st millennium BC. 2. Protohistoric period: Approximately the first half of the 1st millennium BC. 3. Achaemenian dynasty period: 6th to 4th century BC, marked by written history. Ancient Iran's history is divided into three phases: prehistoric, protohistoric, and the Achaemenian dynasty(6th to 4th century BC). Several ancient civilizations and empires existed in the region: * Elam, in southwestern Iran, was closely tied to Mesopotamia. * The Medes united Iranian tribes and, in alliance with Babylon, ended the Assyrian Empire in 612 BC. * The Achaemenian Dynasty (559–330 BC) established an empire that Cyrus II founded. * The Parthian Empire (247 BC–224 AD) gained control of the Iranian Plateau and Mesopotamia. * The Sasanian Dynasty (224–651",2026-07-15T02:33:47Z,A zero is the legacy absence coding; no source proves absence of every possible patron relationship.,Seshat Cliopatria; HYDE
2,アテネ（ペロポネソス戦争後）,BC404-BC338,entity,アテネ（ペロポネソス戦争後）,supported_by_reference_overview,"Athens - Ancient, Acropolis, Democracy | Britannica",Encyclopaedia Britannica,https://www.britannica.com/place/Athens/History,"Article, chapter, or dataset overview; relevant text is reproduced in source_excerpt","Athens - Ancient, Acropolis, Democracy | Britannica # History of Athens The site of Athens has been inhabited since the Neolithic Period(before 3000 bce). Evidence for this has come from pottery finds on and around the Acropolis but particularly from a group of about 20 shallow wells, or pits, on the northwest slope of the Acropolis, just below the Klepsydra spring. These wells contained burnished pots of excellent quality, which show that even at this remote period Athens had a settled population and high technical and artistic standards. There are similar indications of occupation in the Early and Middle Bronze ages(3000–1500 bce). The earliest buildings date from the Late Bronze Age, particularly about 1200 bce when the Acropolis was the citadel. Around its top was built a massive wall of cyclopean masonry(a type of construction using huge blocks without mortar). The construction of this wall probably marks the union of the 12 towns of Attica(the department in which Athens",2026-07-15T02:33:47Z,The cited reference identifies the polity or political unit.,Seshat Cliopatria; HYDE
2,アテネ（ペロポネソス戦争後）,BC404-BC338,period,BC404-BC338,polity_chronology_supported_project_window_interpretive,"Athens - Ancient, Acropolis, Democracy | Britannica",Encyclopaedia Britannica,https://www.britannica.com/place/Athens/History,"Article, chapter, or dataset overview; relevant text is reproduced in source_excerpt","Athens - Ancient, Acropolis, Democracy | Britannica # History of Athens The site of Athens has been inhabited since the Neolithic Period(before 3000 bce). Evidence for this has come from pottery finds on and around the Acropolis but particularly from a group of about 20 shallow wells, or pits, on the northwest slope of the Acropolis, just below the Klepsydra spring. These wells contained burnished pots of excellent quality, which show that even at this remote period Athens had a settled population and high technical and artistic standards. There are similar indications of occupation in the Early and Middle Bronze ages(3000–1500 bce). The earliest buildings date from the Late Bronze Age, particularly about 1200 bce when the Acropolis was the citadel. Around its top was built a massive wall of cyclopean masonry(a type of construction using huge blocks without mortar). The construction of this wall probably marks the union of the 12 towns of Attica(the department in which Athens",2026-07-15T02:33:47Z,The source supports the polity chronology; split periods and policy windows are project-defined analytical intervals.,Seshat Cliopatria; HYDE
2,アテネ（ペロポネソス戦争後）,BC404-BC338,closure_type,none,legacy_none_not_independently_verified,"Athens - Ancient, Acropolis, Democracy | Britannica",Encyclopaedia Britannica,https://www.britannica.com/place/Athens/History,"Article, chapter, or dataset overview; relevant text is reproduced in source_excerpt","Athens - Ancient, Acropolis, Democracy | Britannica # History of Athens The site of Athens has been inhabited since the Neolithic Period(before 3000 bce). Evidence for this has come from pottery finds on and around the Acropolis but particularly from a group of about 20 shallow wells, or pits, on the northwest slope of the Acropolis, just below the Klepsydra spring. These wells contained burnished pots of excellent quality, which show that even at this remote period Athens had a settled population and high technical and artistic standards. There are similar indications of occupation in the Early and Middle Bronze ages(3000–1500 bce). The earliest buildings date from the Late Bronze Age, particularly about 1200 bce when the Acropolis was the citadel. Around its top was built a massive wall of cyclopean masonry(a type of construction using huge blocks without mortar). The construction of this wall probably marks the union of the 12 towns of Attica(the department in which Athens",2026-07-15T02:33:47Z,No formal closure is asserted; absence of every relevant restriction was not proven.,Seshat Cliopatria; HYDE
2,アテネ（ペロポネソス戦争後）,BC404-BC338,outcome,overtaken,historical_event_supported_category_is_project_interpretation,"Athens - Ancient, Acropolis, Democracy | Britannica",Encyclopaedia Britannica,https://www.britannica.com/place/Athens/History,"Article, chapter, or dataset overview; relevant text is reproduced in source_excerpt","Athens - Ancient, Acropolis, Democracy | Britannica # History of Athens The site of Athens has been inhabited since the Neolithic Period(before 3000 bce). Evidence for this has come from pottery finds on and around the Acropolis but particularly from a group of about 20 shallow wells, or pits, on the northwest slope of the Acropolis, just below the Klepsydra spring. These wells contained burnished pots of excellent quality, which show that even at this remote period Athens had a settled population and high technical and artistic standards. There are similar indications of occupation in the Early and Middle Bronze ages(3000–1500 bce). The earliest buildings date from the Late Bronze Age, particularly about 1200 bce when the Acropolis was the citadel. Around its top was built a massive wall of cyclopean masonry(a type of construction using huge blocks without mortar). The construction of this wall probably marks the union of the 12 towns of Attica(the department in which Athens",2026-07-15T02:33:47Z,The source documents the polity history or terminal event. The three-category outcome is an AI-assisted project classification rather than a source variable.,Seshat Cliopatria; HYDE
2,アテネ（ペロポネソス戦争後）,BC404-BC338,has_external_patron,0,legacy_zero_not_independently_verified,"Athens - Ancient, Acropolis, Democracy | Britannica",Encyclopaedia Britannica,https://www.britannica.com/place/Athens/History,"Article, chapter, or dataset overview; relevant text is reproduced in source_excerpt","Athens - Ancient, Acropolis, Democracy | Britannica # History of Athens The site of Athens has been inhabited since the Neolithic Period(before 3000 bce). Evidence for this has come from pottery finds on and around the Acropolis but particularly from a group of about 20 shallow wells, or pits, on the northwest slope of the Acropolis, just below the Klepsydra spring. These wells contained burnished pots of excellent quality, which show that even at this remote period Athens had a settled population and high technical and artistic standards. There are similar indications of occupation in the Early and Middle Bronze ages(3000–1500 bce). The earliest buildings date from the Late Bronze Age, particularly about 1200 bce when the Acropolis was the citadel. Around its top was built a massive wall of cyclopean masonry(a type of construction using huge blocks without mortar). The construction of this wall probably marks the union of the 12 towns of Attica(the department in which Athens",2026-07-15T02:33:47Z,A zero is the legacy absence coding; no source proves absence of every possible patron relationship.,Seshat Cliopatria; HYDE
